"","Distance"
"2019",0
"2020",124.455577922167
"2021",249.646059548605
"2022",279.757481379286
"2023",364.745022731803
"2024",364.745022731803
"2025",364.745022731803
"2026",364.745022731803
"2027",364.745022731803
"2028",364.745022731803
"2029",364.745022731803
"2030",364.745022731803
"2031",364.745022731803
"2032",364.745022731803
"2033",364.745022731803
"2034",364.745022731803
"2035",364.745022731803
"2036",364.745022731803
"2037",364.745022731803
"2038",364.745022731803
"2039",364.745022731803
"2040",364.745022731803
"2041",364.745022731803
"2042",364.745022731803
"2043",364.745022731803
"2044",364.745022731803
"2045",364.745022731803
"2046",364.745022731803
"2047",364.745022731803
"2048",364.745022731803
"2049",364.745022731803
"2050",364.745022731803
"2051",364.745022731803
"2052",364.745022731803
"2053",364.745022731803
"2054",364.745022731803
"2055",364.745022731803
"2056",364.745022731803
"2057",364.745022731803
"2058",364.745022731803
"2059",364.745022731803
"2060",364.745022731803
"2061",364.745022731803
"2062",364.745022731803
"2063",364.745022731803
"2064",364.745022731803
"2065",364.745022731803
"2066",364.745022731803
"2067",364.745022731803
"2068",364.745022731803
"2069",364.745022731803
