"","x"
"1","62.5 -16.5"
"2","62.5 -15.5"
"3","62.5 -14.5"
"4","62.5 -13.5"
"5","62.5 -12.5"
"6","62.5 -11.5"
"7","62.5 -10.5"
"8","62.5 -9.5"
"9","62.5 -8.5"
"10","62.5 -7.5"
"11","62.5 -6.5"
"12","62.5 -5.5"
"13","62.5 -4.5"
"14","62.5 -3.5"
"15","62.5 -2.5"
"16","62.5 -1.5"
"17","62.5 -0.5"
"18","62.5 0.5"
"19","62.5 1.5"
"20","62.5 2.5"
"21","61.5 -16.5"
"22","61.5 -15.5"
"23","61.5 -14.5"
"24","61.5 -13.5"
"25","61.5 -12.5"
"26","61.5 -11.5"
"27","61.5 -10.5"
"28","61.5 -9.5"
"29","61.5 -8.5"
"30","61.5 -7.5"
"31","61.5 -6.5"
"32","61.5 -5.5"
"33","61.5 -4.5"
"34","61.5 -3.5"
"35","61.5 -2.5"
"36","61.5 -1.5"
"37","61.5 -0.5"
"38","61.5 0.5"
"39","61.5 1.5"
"40","61.5 2.5"
"41","60.5 -16.5"
"42","60.5 -15.5"
"43","60.5 -14.5"
"44","60.5 -13.5"
"45","60.5 -12.5"
"46","60.5 -11.5"
"47","60.5 -10.5"
"48","60.5 -9.5"
"49","60.5 -8.5"
"50","60.5 -7.5"
"51","60.5 -6.5"
"52","60.5 -5.5"
"53","60.5 -4.5"
"54","60.5 -3.5"
"55","60.5 -2.5"
"56","60.5 -1.5"
"57","60.5 -0.5"
"58","60.5 0.5"
"59","60.5 1.5"
"60","60.5 2.5"
"61","59.5 -16.5"
"62","59.5 -15.5"
"63","59.5 -14.5"
"64","59.5 -13.5"
"65","59.5 -12.5"
"66","59.5 -11.5"
"67","59.5 -10.5"
"68","59.5 -9.5"
"69","59.5 -8.5"
"70","59.5 -7.5"
"71","59.5 -6.5"
"72","59.5 -5.5"
"73","59.5 -4.5"
"74","59.5 -3.5"
"75","59.5 -2.5"
"76","59.5 -1.5"
"77","59.5 -0.5"
"78","59.5 0.5"
"79","59.5 1.5"
"80","59.5 2.5"
"81","58.5 -16.5"
"82","58.5 -15.5"
"83","58.5 -14.5"
"84","58.5 -13.5"
"85","58.5 -12.5"
"86","58.5 -11.5"
"87","58.5 -10.5"
"88","58.5 -9.5"
"89","58.5 -8.5"
"90","58.5 -7.5"
"91","58.5 -6.5"
"92","58.5 -5.5"
"93","58.5 -4.5"
"94","58.5 -3.5"
"95","58.5 -2.5"
"96","58.5 -1.5"
"97","58.5 -0.5"
"98","58.5 0.5"
"99","58.5 1.5"
"100","58.5 2.5"
"101","57.5 -16.5"
"102","57.5 -15.5"
"103","57.5 -14.5"
"104","57.5 -13.5"
"105","57.5 -12.5"
"106","57.5 -11.5"
"107","57.5 -10.5"
"108","57.5 -9.5"
"109","57.5 -8.5"
"110","57.5 -7.5"
"111","57.5 -6.5"
"112","57.5 -5.5"
"113","57.5 -4.5"
"114","57.5 -3.5"
"115","57.5 -2.5"
"116","57.5 -1.5"
"117","57.5 -0.5"
"118","57.5 0.5"
"119","57.5 1.5"
"120","57.5 2.5"
"121","56.5 -16.5"
"122","56.5 -15.5"
"123","56.5 -14.5"
"124","56.5 -13.5"
"125","56.5 -12.5"
"126","56.5 -11.5"
"127","56.5 -10.5"
"128","56.5 -9.5"
"129","56.5 -8.5"
"130","56.5 -7.5"
"131","56.5 -6.5"
"132","56.5 -5.5"
"133","56.5 -4.5"
"134","56.5 -3.5"
"135","56.5 -2.5"
"136","56.5 -1.5"
"137","56.5 -0.5"
"138","56.5 0.5"
"139","56.5 1.5"
"140","56.5 2.5"
"141","55.5 -16.5"
"142","55.5 -15.5"
"143","55.5 -14.5"
"144","55.5 -13.5"
"145","55.5 -12.5"
"146","55.5 -11.5"
"147","55.5 -10.5"
"148","55.5 -9.5"
"149","55.5 -8.5"
"150","55.5 -7.5"
"151","55.5 -6.5"
"152","55.5 -5.5"
"153","55.5 -4.5"
"154","55.5 -3.5"
"155","55.5 -2.5"
"156","55.5 -1.5"
"157","55.5 -0.5"
"158","55.5 0.5"
"159","55.5 1.5"
"160","55.5 2.5"
"161","54.5 -16.5"
"162","54.5 -15.5"
"163","54.5 -14.5"
"164","54.5 -13.5"
"165","54.5 -12.5"
"166","54.5 -11.5"
"167","54.5 -10.5"
"168","54.5 -9.5"
"169","54.5 -8.5"
"170","54.5 -7.5"
"171","54.5 -6.5"
"172","54.5 -5.5"
"173","54.5 -4.5"
"174","54.5 -3.5"
"175","54.5 -2.5"
"176","54.5 -1.5"
"177","54.5 -0.5"
"178","54.5 0.5"
