"","Distance"
"2019",0
"2020",124.455577922167
"2021",249.646059548605
"2022",279.757481379286
"2023",404.96332351355
"2024",531.508901423158
"2025",531.508901423158
"2026",531.508901423158
"2027",531.508901423158
"2028",531.508901423158
"2029",531.508901423158
"2030",531.508901423158
"2031",531.508901423158
"2032",531.508901423158
"2033",531.508901423158
"2034",531.508901423158
"2035",531.508901423158
"2036",531.508901423158
"2037",531.508901423158
"2038",531.508901423158
"2039",531.508901423158
"2040",531.508901423158
"2041",531.508901423158
"2042",531.508901423158
"2043",531.508901423158
"2044",531.508901423158
"2045",531.508901423158
"2046",531.508901423158
"2047",531.508901423158
"2048",531.508901423158
"2049",531.508901423158
"2050",531.508901423158
"2051",531.508901423158
"2052",531.508901423158
"2053",531.508901423158
"2054",531.508901423158
"2055",531.508901423158
"2056",531.508901423158
"2057",531.508901423158
"2058",531.508901423158
"2059",531.508901423158
"2060",531.508901423158
"2061",531.508901423158
"2062",531.508901423158
"2063",471.903320256072
"2064",471.903320256072
"2065",471.903320256072
"2066",471.903320256072
"2067",471.903320256072
"2068",471.903320256072
"2069",471.903320256072
