"","Distance"
"2019",0
"2020",0
"2021",0
"2022",0
"2023",0
"2024",0
"2025",0
"2026",0
"2027",0
"2028",0
"2029",0
"2030",0
"2031",0
"2032",0
"2033",0
"2034",0
"2035",0
"2036",0
"2037",0
"2038",0
"2039",0
"2040",0
"2041",0
"2042",0
"2043",0
"2044",0
"2045",0
"2046",0
"2047",0
"2048",0
"2049",0
"2050",0
"2051",0
"2052",0
"2053",0
"2054",62.6790315147254
"2055",62.6790315147254
"2056",62.6790315147254
"2057",62.6790315147254
"2058",64.718692230136
"2059",64.718692230136
"2060",64.718692230136
"2061",74.7774949970124
"2062",74.7774949970124
"2063",74.7774949970124
"2064",74.7774949970124
"2065",74.7774949970124
"2066",74.7774949970124
"2067",74.7774949970124
"2068",74.7774949970124
"2069",74.7774949970124
