"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"1","57.5 -1.5","57.5 -0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5"
"2","57.5 -1.5","57.5 -0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5"
"3","57.5 -1.5","58.5 -1.5","57.5 -0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5"
"4","57.5 -1.5","58.5 -2.5","59.5 -2.5","58.5 -1.5","58.5 -2.5","59.5 -1.5","58.5 -0.5","57.5 -1.5","57.5 -0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5","56.5 0.5"
"5","57.5 -1.5","56.5 -0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5"
"6","57.5 -1.5","57.5 -0.5","58.5 0.5","57.5 -0.5","57.5 0.5","58.5 1.5","59.5 1.5","58.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5","57.5 2.5"
"7","57.5 -1.5","58.5 -2.5","57.5 -1.5","57.5 -2.5","56.5 -1.5","57.5 -0.5","56.5 -0.5","57.5 -0.5","56.5 -0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5","55.5 0.5"
"8","57.5 -1.5","57.5 -0.5","56.5 -1.5","56.5 -0.5","57.5 -0.5","57.5 -1.5","57.5 -2.5","58.5 -3.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5","57.5 -4.5"
"9","57.5 -1.5","58.5 -2.5","58.5 -3.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5","58.5 -4.5"
"10","57.5 -1.5","56.5 -0.5","57.5 0.5","58.5 0.5","57.5 1.5","57.5 0.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5","57.5 1.5"
