"","current","new.boat","move.north","move_south"
"2019",100,100,0,100
"2020",50,50,0,50
"2021",61,65,17,40
"2022",51,74,15,46
"2023",43,68,22,34
"2024",44,75,19,42
"2025",33,68,19,36
"2026",38,68,18,36
"2027",31,67,17,40
"2028",32,63,21,31
"2029",25,67,15,34
"2030",31,67,22,30
"2031",24,68,19,30
"2032",21,64,21,27
"2033",22,61,18,21
"2034",20,63,19,25
"2035",21,59,23,21
"2036",26,62,22,19
"2037",24,61,25,19
"2038",30,57,24,22
"2039",22,57,25,19
"2040",21,55,22,23
"2041",25,55,21,20
"2042",18,61,22,21
"2043",21,60,24,19
"2044",14,57,27,12
"2045",18,56,25,14
"2046",16,58,28,14
"2047",14,53,28,12
"2048",14,56,28,10
"2049",17,55,29,14
"2050",14,55,29,17
"2051",13,52,25,13
"2052",14,49,26,9
"2053",14,42,18,10
"2054",15,43,22,10
"2055",16,41,19,8
"2056",11,42,18,9
"2057",10,38,18,8
"2058",12,50,24,13
"2059",16,48,25,11
"2060",14,47,24,10
"2061",15,49,26,8
"2062",5,44,25,5
"2063",8,46,24,7
"2064",13,46,26,8
"2065",8,48,29,11
"2066",8,44,30,4
"2067",9,44,28,5
"2068",12,47,28,11
"2069",11,43,29,8
