"","current","new.boat","move.north","move_south"
"2019",100,100,0,100
"2020",50,50,0,50
"2021",61,65,17,40
"2022",51,74,15,46
"2023",43,68,22,34
"2024",44,72,19,42
"2025",33,68,19,36
"2026",38,65,18,36
"2027",31,67,17,40
"2028",32,62,21,31
"2029",25,65,15,34
"2030",31,66,22,30
"2031",24,68,19,30
"2032",21,60,21,27
"2033",22,60,18,21
"2034",20,61,19,25
"2035",21,58,23,21
"2036",26,60,22,19
"2037",24,59,25,19
"2038",30,57,24,22
"2039",22,56,25,19
"2040",21,54,22,23
"2041",25,55,21,20
"2042",18,60,22,21
"2043",21,59,24,19
"2044",14,56,27,12
"2045",18,56,25,14
"2046",16,56,28,14
"2047",14,53,28,12
"2048",14,54,28,10
"2049",17,54,29,14
"2050",14,54,29,17
"2051",13,51,25,13
"2052",14,49,26,9
"2053",14,42,18,10
"2054",15,43,22,10
"2055",16,41,19,8
"2056",11,40,18,9
"2057",10,36,18,8
"2058",12,48,24,13
"2059",16,48,25,11
"2060",14,46,24,10
"2061",15,47,26,8
"2062",5,44,25,5
"2063",8,44,24,7
"2064",13,44,26,8
"2065",8,47,29,11
"2066",8,44,30,4
"2067",9,43,28,5
"2068",12,47,28,11
"2069",11,43,29,8
