"","current","new.boat","move.north","move_south"
"2019",100,100,0,100
"2020",60,60,25,22
"2021",43,64,21,32
"2022",46,62,21,28
"2023",37,61,14,32
"2024",44,67,18,33
"2025",45,79,21,36
"2026",30,74,19,30
"2027",32,76,20,27
"2028",26,73,17,24
"2029",29,75,14,28
"2030",25,85,22,28
"2031",29,82,19,24
"2032",24,79,12,25
"2033",29,83,11,28
"2034",15,80,6,29
"2035",10,85,10,28
"2036",8,79,8,26
"2037",11,80,11,27
"2038",10,81,13,29
"2039",9,79,12,28
"2040",10,77,6,34
"2041",9,78,8,34
"2042",9,82,8,35
"2043",5,82,8,32
"2044",5,83,9,33
"2045",5,81,7,34
"2046",3,80,7,32
"2047",3,83,7,31
"2048",3,80,4,31
"2049",1,82,4,31
"2050",6,83,4,32
"2051",2,82,5,32
"2052",2,84,7,33
"2053",3,80,3,33
"2054",1,83,3,34
"2055",2,76,1,33
"2056",3,75,1,34
"2057",3,74,2,33
"2058",1,77,0,33
"2059",3,78,1,33
"2060",6,74,0,35
"2061",3,77,1,38
"2062",2,76,1,37
"2063",0,76,0,37
"2064",0,75,0,37
"2065",0,74,0,37
"2066",6,77,1,47
"2067",3,77,0,46
"2068",2,79,0,48
"2069",5,77,0,48
